form,root
schmalstesschmälstes,schmal
schmalschmäl,schmal
dicksten,dick
dickem,dick
dickerem,dick
dickstem,dick
dickste,dick
dicke,dick
dick,dick
dicker,dick
dickstes,dick
dickerer,dick
dickere,dick
dickeren,dick
dickster,dick
dicken,dick
dickeres,dick
dickes,dick
dünnere,dünn
dünnstes,dünn
dünnstem,dünn
dünneres,dünn
dünnerer,dünn
dünneren,dünn
dünnsten,dünn
dünnes,dünn
dünn,dünn
dünnerem,dünn
dünnster,dünn
dünnste,dünn
dünne,dünn
dünnen,dünn
dünner,dünn
dünnem,dünn
stärkere,stark
starkem,stark
stark,stark
starker,stark
stärkerer,stark
stärker,stark
stärkerem,stark
stärkster,stark
stärkstes,stark
stärkste,stark
stärkstem,stark
starkes,stark
stärkeres,stark
stärksten,stark
stärkeren,stark
starken,stark
starke,stark
stärk,stark
schwächerem,schwach
schwaches,schwach
schwachen,schwach
schwächerer,schwach
schwach,schwach
schwächsten,schwach
schwächster,schwach
schwache,schwach
schwachem,schwach
schwächstes,schwach
schwächste,schwach
schwächeres,schwach
schwacher,schwach
schwäch,schwach
schwächer,schwach
schwächeren,schwach
schwächstem,schwach
schwächere,schwach
härteres,hart
härtester,hart
härteren,hart
härtestem,hart
harter,hart
härterem,hart
härtesten,hart
härteste,hart
härtestes,hart
härtten,hart
hart,hart
harten,hart
härterer,hart
härt,hart
hartem,hart
härtere,hart
hartes,hart
harte,hart
härter,hart
weiches,weich
weicherem,weich
weichere,weich
weichstem,weich
weichsten,weich
weicheres,weich
weichem,weich
weicher,weich
weicheren,weich
weichste,weich
weichster,weich
weiche,weich
weichstes,weich
weichen,weich
weich,weich
weicherer,weich
heißere,heiß
heißerem,heiß
heißen,heiß
heißeres,heiß
heißestem,heiß
heißerer,heiß
heißester,heiß
heißer,heiß
heißeste,heiß
heißeren,heiß
heißesten,heiß
heißten,heiß
heißem,heiß
heißes,heiß
heiß,heiß
heiße,heiß
heißestes,heiß
kälterer,kalt
kalter,kalt
kältere,kalt
kaltem,kalt
kält,kalt
kälter,kalt
kälterem,kalt
kalte,kalt
kaltes,kalt
kalten,kalt
kälteren,kalt
kälteres,kalt
kalt,kalt
warmes,warm
warm,warm
warme,warm
warmem,warm
wärmerer,warm
warmer,warm
wärmstes,warm
wärmer,warm
wärmster,warm
wärm,warm
wärmeres,warm
wärmeren,warm
wärmere,warm
wärmste,warm
wärmsten,warm
wärmstem,warm
wärmerem,warm
warmen,warm
kühlerer,kühl
kühlerem,kühl
kühlster,kühl
kühle,kühl
kühler,kühl
kühlste,kühl
kühlere,kühl
kühles,kühl
kühlsten,kühl
kühl,kühl
kühleres,kühl
kühlen,kühl
kühlstem,kühl
kühlstes,kühl
kühlem,kühl
kühleren,kühl
schnellsten,schnell
schnelles,schnell
schnellem,schnell
schnell,schnell
schnelleren,schnell
schnellerer,schnell
schnellstem,schnell
schnelle,schnell
schnellster,schnell
schnellere,schnell
schnellerem,schnell
schnellstes,schnell
schnelleres,schnell
schnellen,schnell
schneller,schnell
schnellste,schnell
langsamen,langsam
langsamster,langsam
langssten,langsam
langsamstes,langsam
langsamsten,langsam
langsamstem,langsam
langsameres,langsam
langsamer,langsam
langsamem,langsam
langsames,langsam
langsamerer,langsam
langsameren,langsam
langsam,langsam
langsame,langsam
langsamere,langsam
langsamste,langsam
langsamerem,langsam
einfachere,einfach
einfachstem,einfach
einfacher,einfach
einfacheren,einfach
facherer,einfach
einfache,einfach
facher,einfach
fachstes,einfach
einfacheres,einfach
einfachstes,einfach
einfacherer,einfach
einfachste,einfach
faches,einfach
einfachen,einfach
einfachsten,einfach
einfaches,einfach
einfachster,einfach
fachster,einfach
einfach,einfach
facheres,einfach
einfachem,einfach
einfacherem,einfach
schwierige,schwierig
schwierigster,schwierig
schwierigerem,schwierig
schwierigere,schwierig
schwiig,schwierig
schwierigste,schwierig
schwierigem,schwierig
schwierigeren,schwierig
schwiigsten,schwierig
schwieriger,schwierig
schwierigstes,schwierig
schwieriges,schwierig
schwierigeres,schwierig
schwierigsten,schwierig
schwierigstem,schwierig
schwierigerer,schwierig
schwierig,schwierig
schwierigen,schwierig
klareres,klar
klaren,klar
klarster,klar
klarste,klar
klarsten,klar
klarstem,klar
klare,klar
klar,klar
klarere,klar
klarer,klar
klareren,klar
klarerem,klar
klarstes,klar
klarem,klar
klares,klar
klarerer,klar
dunkleremdünklerem1,dunkel
dunklerendünkleren1,dunkel
dunkle,dunkel
dunkles,dunkel
dunkelstem,dunkel
dunkelstes,dunkel
dunkelste,dunkel
dunklem,dunkel
dunkel,dunkel
dunklererdünklerer1,dunkel
dunkldünkl1,dunkel
dunklerdünkler1,dunkel
dunkler,dunkel
dunkleresdünkleres1,dunkel
dunklen,dunkel
dunkelsten,dunkel
dunkelster,dunkel
dunkleredünklere1,dunkel
dunkleredünkleres1,dunkel
hellen,hell
hellsten,hell
hellstem,hell
hellster,hell
helles,hell
hellstes,hell
hellste,hell
hellerer,hell
heller,hell
helleres,hell
helleren,hell
hellere,hell
hell,hell
hellem,hell
helle,hell
hellerem,hell
leichtere,leicht
leichtestes,leicht
leichtester,leicht
leichteste,leicht
leichten,leicht
leichtesten,leicht
leichteres,leicht
leichtestem,leicht
leichte,leicht
leichtem,leicht
leichterer,leicht
leichtten,leicht
leichteren,leicht
leicht,leicht
leichtes,leicht
leichter,leicht
leichterem,leicht
schweren,schwer
schwerste,schwer
schwererem,schwer
schwerster,schwer
schweres,schwer
schwererer,schwer
schwerstem,schwer
schwer,schwer
schwerere,schwer
schwersten,schwer
schwereres,schwer
schwereren,schwer
schw,schwer
schwerer,schwer
schwerem,schwer
schwere,schwer
schwerstes,schwer
schwsten,schwer
